Time,Voltage
-0.000008,0.276
-0.000004,0.272
0,0.248
0.000004,0.224
0.000008,0.188
0.000012,0.148
0.000016,0.104
0.00002,0.06
0.000024,0.016
0.000028,-0.02
0.000032,-0.052
0.000036,-0.076
0.00004,-0.08
0.000044,-0.084
0.000048,-0.076
0.000052,-0.052
0.000056,-0.02
0.00006,0.008
0.000064,0.04
0.000068,0.084
0.000072,0.116
0.000076,0.14
0.00008,0.156
0.000084,0.164
0.000088,0.16
0.000092,0.148
0.000096,0.124
0.0001,0.092
0.000104,0.052
0.000108,0.008
0.000112,-0.032
0.000116,-0.076
0.00012,-0.112
0.000124,-0.136
0.000128,-0.128
0.000132,-0.108
0.000136,-0.076
0.00014,-0.036
0.000144,0.016
0.000148,0.072
0.000152,0.124
0.000156,0.184
0.00016,0.264
0.000164,0.292
0.000168,0.312
0.000172,0.324
0.000176,0.336
0.00018,0.332
0.000184,0.316
0.000188,0.292
0.000192,0.26
0.000196,0.22
0.0002,0.172
0.000204,0.128
0.000208,0.084
0.000212,0.04
0.000216,0.004
0.00022,-0.016
0.000224,-0.032
0.000228,-0.036
0.000232,-0.028
0.000236,-0.012
0.00024,0.008
0.000244,0.04
0.000248,0.076
0.000252,0.108
0.000256,0.14
0.00026,0.168
0.000264,0.188
0.000268,0.196
0.000272,0.196
0.000276,0.188
0.00028,0.164
0.000284,0.132
0.000288,0.096
0.000292,0.056
0.000296,0.008
0.0003,-0.036
0.000304,-0.072
0.000308,-0.104
0.000312,-0.128
0.000316,-0.132
0.00032,-0.108
0.000324,-0.08
0.000328,-0.044
0.000332,0
0.000336,0.048
0.00034,0.1
0.000344,0.148
0.000348,0.216
0.000352,0.248
0.000356,0.264
0.00036,0.268
0.000364,0.276
0.000368,0.264
0.000372,0.24
0.000376,0.208
0.00038,0.176
0.000384,0.132
0.000388,0.084
0.000392,0.04
0.000396,0.004
0.0004,-0.036
0.000404,-0.064
0.000408,-0.08
0.000412,-0.084
0.000416,-0.084
0.00042,-0.068
0.000424,-0.04
0.000428,-0.012
0.000432,0.02
0.000436,0.06
0.00044,0.096
0.000444,0.124
0.000448,0.144
0.000452,0.16
0.000456,0.164
